Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2893.34,247,11.71,250,12.53,246,11.76,5.32
Table Service,1464.29,113,12.96,60,26.42,56,26.15,51.25
Total,4357.63,360,12.10,310,15.21,302,14.43,13.84
