Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,762.0,2506.61,17.16,0.0,2523.77,206.62
Drive Thru,528.0,1703.91,0.0,0.0,1703.91,140.29
Total,1290.0,4210.52,17.16,0.0,4227.68,346.91
