Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3051.9,221,13.81,223,14.81,220,13.87,5.11
Table Service,1158.62,98,11.82,45,27.87,42,27.59,35.48
Total,4210.52,319,13.20,268,17.01,262,16.07,9.98
