Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1062.0,3613.22,16.61,0.0,3629.83,297.8
NA Beverage,228.0,597.3,0.55,0.0,597.85,49.11
Total,1290.0,4210.52,17.16,0.0,4227.68,346.91
