Hour of day,Net sales,Total orders,Total guests
8,436.46,47,52
14,120.12,7,8
11,397.83,25,31
18,72.67,6,6
17,81.9,7,8
7,306.25,35,36
9,521.46,28,35
12,471.41,25,30
16,237.35,12,18
20,12.23,1,1
13,223.31,16,16
15,179.11,11,14
10,239.25,20,22
19,12.98,1,1
6,276.46,25,28
