Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,760.0,2435.35,21.41,0.0,2456.76,184.36
Drive Thru,356.0,1153.44,0.0,0.0,1153.44,94.93
Total,1116.0,3588.79,21.41,0.0,3610.20,279.29
