Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,50,953.09,6.54,959.63,78.51
Drive Thru,169,1911.3,0.0,1911.3,157.28
Take Out,47,724.4,14.87,739.27,43.5
Total,266,3588.79,21.41,3610.20,279.29
