Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,3.0,42.97,0.0,0.0,42.97,3.55
Dining Room,910.0,3847.67,20.65,0.0,3868.32,317.52
Drive Thru,639.0,2141.31,18.88,0.0,2160.19,176.78
No Revenue Center,26.0,54.01,20.24,0.0,74.25,4.46
Total,1578.0,6085.96,59.77,0.0,6145.73,502.31
