Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1228.0,5188.77,54.47,0.0,5243.24,428.22
NA Beverage,350.0,897.19,5.3,0.0,902.49,74.09
Total,1578.0,6085.96,59.77,0.0,6145.73,502.31
