Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,93,3245.17,34.04,3279.21,267.8
Drive Thru,129,2323.13,18.88,2342.01,191.79
Take Out,27,517.66,6.85,524.51,42.72
Total,249,6085.96,59.77,6145.73,502.31
