Hour of day,Net sales,Total orders,Total guests
18,73.89,6,6
6,192.05,28,30
5,4.28,1,1
15,111.2,8,9
8,422.74,48,51
13,380.31,17,23
7,212.34,24,24
16,217.34,11,14
10,474.59,35,42
19,46.36,2,3
11,275.18,24,25
12,476.23,29,35
14,98.29,11,14
9,370.84,30,34
17,111.06,6,6
