Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,512.0,1698.33,9.86,0.0,1708.19,139.95
Drive Thru,509.0,1669.93,12.16,0.0,1682.09,137.52
Total,1021.0,3368.26,22.02,0.0,3390.28,277.47
