Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,36,1088.07,9.86,1097.93,89.68
Drive Thru,138,1978.23,12.16,1990.39,162.93
Take Out,22,301.96,0.0,301.96,24.86
Total,196,3368.26,22.02,3390.28,277.47
