Hour of day,Net sales,Total orders,Total guests
13,527.04,25,35
7,50.55,4,5
12,596.8,33,40
8,176.46,13,15
9,423.28,27,33
14,62.35,5,5
11,808.73,43,62
10,723.05,46,49
