Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,120,3028.26,57.45,3085.71,249.55
Drive Thru,182,1915.27,11.52,1926.79,157.74
Take Out,23,656.96,0.0,656.96,54.18
Total,325,5600.49,68.97,5669.46,461.47
