Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2617.55,210,12.46,213,13.30,210,12.46,8.21
Table Service,2982.94,239,12.48,126,25.63,115,25.94,35.13
Total,5600.49,449,12.47,339,17.88,325,17.23,17.74
