Hour of day,Net sales,Total orders,Total guests
19,196.4,6,14
17,257.5,12,20
7,309.62,27,27
9,897.2,35,48
8,533.95,47,58
14,210.8,11,15
10,475.08,41,52
16,245.75,12,19
18,201.8,9,12
11,770.63,42,62
13,587.1,29,44
12,662.81,30,53
15,83.31,6,6
20,16.93,1,1
6,151.61,17,18
