Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,119,3058.19,85.38,3143.57,251.89
Drive Thru,196,2279.63,8.2,2287.83,187.81
Take Out,31,710.7,0.0,710.7,58.61
Total,346,6048.52,93.58,6142.10,498.31
