Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1648.0,6053.52,33.73,0.0,6087.25,498.81
Total,1648.0,6053.52,33.73,0.0,6087.25,498.81
