Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2965.89,211,14.06,217,14.79,211,14.06,9.99
Table Service,3087.63,235,13.14,120,27.85,103,29.98,39.04
Total,6053.52,446,13.57,337,19.44,314,19.28,19.52
