Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,606.0,2139.28,15.5,0.0,2154.78,176.03
Drive Thru,451.0,1418.92,0.0,0.0,1418.92,116.77
Total,1057.0,3558.20,15.5,0.0,3573.70,292.80
