Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2619.37,246,10.65,247,11.48,245,10.69,4.63
Table Service,938.83,77,12.19,48,21.17,46,20.41,36.09
Total,3558.20,323,11.02,295,13.05,291,12.23,9.60
