Hour of day,Net sales,Total orders,Total guests
8,416.12,42,45
6,312.66,35,36
12,470.51,27,31
18,51.0,4,4
13,241.93,20,22
20,27.95,3,3
11,446.02,34,37
10,233.33,21,24
19,32.35,4,4
9,244.99,25,27
14,245.75,17,19
7,331.75,36,36
15,151.91,7,11
16,106.01,6,7
17,245.92,10,17
