Tax rate,Tax amount,Taxable amount
Tax,327.32,3975.41
TX SPECIAL TAX,0.03,4.01
TX CITY TAX,0.05,4.01
TX STATE TAX,0.25,4.01
Non Taxable,0.0,0.01
