Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,59,1214.2,1.19,1215.39,100.07
Drive Thru,190,2042.44,2.39,2044.83,168.1
Take Out,57,722.79,0.0,722.79,59.48
Total,306,3979.43,3.58,3983.01,327.65
