Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2774.75,253,10.97,253,11.87,251,11.05,4.18
Table Service,1204.68,102,11.81,56,23.29,55,21.90,39.55
Total,3979.43,355,11.21,309,13.94,306,13.00,10.54
