Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2961.18,151,19.61,152,21.09,151,19.61,10.60
Table Service,3233.76,1122,2.88,88,39.78,78,41.46,43.94
Total,6194.94,1273,4.87,240,27.94,229,27.05,21.96
