Tax rate,Tax amount,Taxable amount
Tax,380.33,4615.69
TX SPECIAL TAX,0.04,5.98
TX CITY TAX,0.07,5.98
TX STATE TAX,0.37,5.98
Non Taxable,0.0,0.0
