Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,765.0,2666.01,21.45,0.0,2687.46,219.82
Drive Thru,667.0,1955.66,0.0,0.0,1955.66,160.99
Total,1432.0,4621.67,21.45,0.0,4643.12,380.81
