Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,113,1664.97,9.0,0.0,1673.97,137.19
Lunch,123,2317.53,7.19,0.0,2324.72,190.91
Dinner,22,376.5,0.0,0.0,376.5,31.05
No Service,22,262.67,5.26,0.0,267.93,21.66
Total,280,4621.67,21.45,0.0,4643.12,380.81
