Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,625.0,2196.01,4.94,0.0,2200.95,180.77
Drive Thru,341.0,1089.55,0.0,0.0,1089.55,89.75
Total,966.0,3285.56,4.94,0.0,3290.50,270.52
