Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,178,6330.21,129.95,6460.16,521.41
Drive Thru,224,3586.93,29.96,3616.89,295.76
Take Out,50,736.62,13.14,749.76,60.74
Total,452,10653.76,173.05,10826.81,877.91
