Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,4416.98,280,15.77,278,17.20,280,15.77,18.89
Table Service,6236.78,480,12.99,214,31.54,172,36.26,46.84
Total,10653.76,760,14.02,492,23.44,452,23.57,29.53
