Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,3074.0,10653.76,173.05,0.0,10826.81,877.91
Total,3074.0,10653.76,173.05,0.0,10826.81,877.91
