Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,833.0,3555.59,56.5,0.0,3612.09,293.19
NA Beverage,204.0,567.0,0.86,0.0,567.86,46.71
Liquor,10.0,95.91,0.0,0.0,95.91,7.92
Draft Beer,3.0,14.07,0.0,0.0,14.07,1.17
Total,1050.0,4232.57,57.36,0.0,4289.93,348.99
