Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,61,1928.44,45.56,1974.0,158.96
Drive Thru,135,1899.8,10.14,1909.94,156.71
Take Out,20,404.33,1.66,405.99,33.32
Total,216,4232.57,57.36,4289.93,348.99
