Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Dining Room,1537.0,5637.68,38.63,2.0,5678.31,464.91
Total,1537.0,5637.68,38.63,2.0,5678.31,464.91
