Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,116,3081.35,36.73,3118.08,253.97
Drive Thru,185,2123.06,1.9,2126.96,175.21
Take Out,28,433.27,0.0,433.27,35.73
Total,329,5637.68,38.63,5678.31,464.91
