Hour of day,Net sales,Total orders,Total guests
6,96.87,13,13
7,309.39,33,35
8,443.59,35,44
9,645.64,45,63
10,637.84,42,59
11,566.15,31,46
12,458.84,29,40
13,306.82,17,23
14,332.6,18,24
15,166.28,8,11
16,605.3,12,49
17,304.31,12,15
18,170.62,9,16
19,309.72,13,19
20,283.71,12,14
