Hour of day,Net sales,Total orders,Total guests
14,272.9,10,19
11,1149.82,48,81
6,14.34,2,2
17,229.05,9,11
13,569.81,21,35
10,1286.81,46,168
12,646.48,32,51
20,47.11,2,2
18,412.75,9,26
8,598.11,34,46
15,435.29,17,29
7,317.27,22,25
16,395.86,14,22
9,853.38,42,63
19,362.2,11,19
