Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,1448.0,6147.42,149.74,0.0,6297.16,507.13
NA Beverage,433.0,1166.19,17.31,0.0,1183.5,96.27
Liquor,28.0,247.74,0.0,0.0,247.74,20.39
Draft Beer,7.0,29.83,0.0,0.0,29.83,2.46
Total,1916.0,7591.18,167.05,0.0,7758.23,626.25
