Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3424.23,202,16.95,200,18.53,202,16.95,12.83
Table Service,4166.95,397,10.50,136,33.17,117,35.61,50.24
Total,7591.18,599,12.67,336,24.46,319,23.80,26.55
