Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,21.0,97.84,1.16,0.0,99.0,8.08
Dining Room,1194.0,5259.06,107.05,0.0,5366.11,433.84
Drive Thru,672.0,2136.25,37.93,0.0,2174.18,176.23
No Revenue Center,29.0,98.03,20.91,0.0,118.94,8.1
Total,1916.0,7591.18,167.05,0.0,7758.23,626.25
