Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
No Service,1,14.69,0.0,0.0,14.69,1.22
Breakfast,82,1432.97,0.0,0.0,1432.97,118.05
Lunch,99,1918.35,0.0,0.0,1918.35,158.03
Total,182,3366.01,0.0,0.0,3366.01,277.30
