Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1928.62,133,14.50,135,15.46,133,14.50,5.36
Table Service,1437.39,120,11.98,52,29.92,49,29.33,36.26
Total,3366.01,253,13.30,187,19.48,182,18.49,13.68
