Tax rate,Tax amount,Taxable amount
Tax,275.83,3348.01
TX SPECIAL TAX,0.13,18.0
TX CITY TAX,0.22,18.0
TX STATE TAX,1.12,18.0
Non Taxable,0.0,0.0
