Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3069.04,214,14.34,214,15.52,214,14.34,7.06
Table Service,1499.21,118,12.71,56,28.98,55,27.26,40.72
Total,4568.25,332,13.76,270,18.31,269,16.98,13.94
