Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,61,1556.8,2.14,1558.94,128.28
Drive Thru,174,2416.18,3.9,2420.08,199.0
Take Out,34,595.27,22.97,618.24,49.12
Total,269,4568.25,29.01,4597.26,376.40
