Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,118,4017.65,85.11,4102.76,331.14
Drive Thru,147,2390.16,20.09,2410.25,197.0
Take Out,24,332.42,0.0,332.42,27.4
Total,289,6740.23,105.20,6845.43,555.54
