Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2750.02,175,15.71,172,17.31,175,15.71,11.20
Table Service,3990.21,328,12.17,128,33.74,114,35.00,39.12
Total,6740.23,503,13.40,300,24.32,289,23.32,22.21
