Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,3330.82,258,12.91,262,13.70,258,12.91,5.03
Table Service,1279.94,105,12.19,57,24.31,54,23.70,43.93
Total,4610.76,363,12.70,319,15.60,312,14.78,11.76
