Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,2.0,5.78,0.0,0.0,5.78,0.48
Dining Room,598.0,2824.85,24.0,0.0,2848.85,232.99
Drive Thru,479.0,1483.56,5.22,0.0,1488.78,122.42
No Revenue Center,32.0,65.75,61.82,0.0,127.57,5.42
Total,1111.0,4379.94,91.04,0.0,4470.98,361.31
