Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,1956.28,167,11.71,167,12.68,167,11.71,9.81
Table Service,2423.66,167,14.51,80,32.79,79,30.68,39.94
Total,4379.94,334,13.11,247,19.20,246,17.80,19.49
