Service / day part,Orders,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Breakfast,93,1346.2,51.13,0.0,1397.33,111.13
Lunch,92,1763.46,31.61,0.0,1795.07,145.49
Dinner,41,1128.16,8.3,0.0,1136.46,92.98
No Service,20,142.12,0.0,0.0,142.12,11.71
Total,246,4379.94,91.04,0.0,4470.98,361.31
