Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,95,2744.74,83.98,2828.72,226.24
Drive Thru,174,1960.27,6.34,1966.61,161.53
Take Out,15,213.33,0.0,213.33,17.57
Total,284,4918.34,90.32,5008.66,405.34
