Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,975.0,4015.01,87.33,0.0,4102.34,331.07
NA Beverage,335.0,790.96,2.99,0.0,793.95,64.99
Liquor,13.0,86.4,0.0,0.0,86.4,7.13
Bottled Beer,1.0,3.99,0.0,0.0,3.99,0.33
Draft Beer,2.0,21.98,0.0,0.0,21.98,1.82
Total,1326.0,4918.34,90.32,0.0,5008.66,405.34
