Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2180.59,191,11.42,191,12.36,191,11.42,9.50
Table Service,2737.75,192,14.26,129,22.97,93,29.44,45.68
Total,4918.34,383,12.84,320,16.64,284,17.32,21.35
