Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Food,669.0,2382.04,7.5,0.0,2389.54,196.22
NA Beverage,189.0,491.7,0.0,0.0,491.7,40.51
Total,858.0,2873.74,7.5,0.0,2881.24,236.73
