Tax rate,Tax amount,Taxable amount
Tax,235.49,2858.76
TX SPECIAL TAX,0.11,14.98
TX CITY TAX,0.19,14.98
TX STATE TAX,0.94,14.98
Non Taxable,0.0,0.0
