Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,43,773.84,0.0,773.84,63.87
Drive Thru,158,1680.78,4.0,1684.78,138.31
Take Out,35,419.12,3.5,422.62,34.55
Total,236,2873.74,7.5,2881.24,236.73
