Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2113.08,196,10.78,199,11.49,196,10.78,6.22
Table Service,760.66,67,11.35,42,19.61,40,19.02,32.84
Total,2873.74,263,10.93,241,12.91,236,12.18,10.73
