Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,38,672.89,11.3,684.19,55.46
Drive Thru,178,1904.6,1.61,1906.21,156.74
Take Out,35,493.44,15.64,509.08,40.62
Total,251,3070.93,28.55,3099.48,252.82
