Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,2434.54,216,11.27,217,12.14,216,11.27,6.39
Table Service,636.39,56,11.36,40,17.22,35,18.18,34.10
Total,3070.93,272,11.29,257,12.93,251,12.23,10.25
