Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bar,5.0,13.7,1.76,0.0,15.46,1.13
Dining Room,728.0,4178.14,17.73,0.0,4195.87,344.56
Drive Thru,448.0,1567.86,47.55,0.0,1615.41,129.4
No Revenue Center,5.0,0.0,35.45,0.0,35.45,0.0
Total,1186.0,5759.70,102.49,0.0,5862.19,475.09
